0.039001,0.019095,-0.0093938,-0.015195,0.018828,0.014936,-0.0086501,0.010714,-0.021237,-0.095191,-0.076115,-0.12619,-0.036146,-0.12077,-0.02173,-0.086724,-0.039814,-0.09112,0.09686,0.023167,0.090766,-0.031867,-0.052214,0.029044,-0.090002,0.016707,-0.12968
0.019095,0.16535,-0.0514,-0.017238,0.036081,0.097348,-0.15252,0.089953,-0.098756,-0.0072879,0.29217,-0.24889,0.020309,0.017476,0.21214,0.0093409,0.26279,0.20314,-0.15584,-0.22037,-0.39733,-0.19012,-0.31988,-0.18557,-0.39953,-0.24592,-0.44042
-0.0093938,-0.0514,0.1796,0.080075,0.06456,0.07056,0.19719,0.09784,-0.022972,0.12386,0.11879,0.2483,-0.16739,-0.086098,0.084149,-0.20301,-0.11528,-0.22504,-0.35835,-0.2947,-0.27244,-0.23912,0.021192,0.035262,0.23006,0.21333,0.18343
-0.015195,-0.017238,0.080075,0.29949,0.15863,0.17953,0.19343,0.087727,0.05303,0.14174,0.13186,0.2012,0.021352,0.071518,-0.1558,0.060324,-0.28278,0.071406,-0.030477,-0.1619,0.13598,0.11156,0.011429,0.065132,0.10545,0.26907,0.10411
0.018828,0.036081,0.06456,0.15863,0.48395,0.24979,0.22126,0.090308,-0.037063,0.077781,0.38467,0.06037,-0.071751,0.11421,-0.35588,-0.031308,-0.29181,-0.30388,-0.022634,-0.051083,-0.25319,0.34656,0.61749,0.0773,0.45795,0.29552,-0.52137
0.014936,0.097348,0.07056,0.17953,0.24979,0.91127,0.69348,0.52512,0.048446,-0.12043,0.41337,-0.47145,-0.2023,-0.21302,0.086072,-0.44154,0.12833,0.44729,-0.49255,-0.76807,-0.47051,0.23551,0.63689,0.42602,0.82094,0.55159,-0.12073
-0.0086501,-0.15252,0.19719,0.19343,0.22126,0.69348,1.509,0.48718,0.23673,-0.23254,-0.20101,-0.015735,-0.54969,-0.31682,-0.27573,-0.42215,-0.88574,0.14262,-0.56001,-0.40346,0.086574,0.84273,1.096,1.3715,2.2026,0.95,1.0702
0.010714,0.089953,0.09784,0.087727,0.090308,0.52512,0.48718,1.1349,0.37517,-0.080319,0.55216,-0.40066,-0.10503,-0.021538,0.061934,-0.21815,0.25171,-0.14539,-0.64183,-0.56968,-0.56286,-0.49138,-0.046445,0.093308,0.68417,1.2396,0.57922
-0.021237,-0.098756,-0.022972,0.05303,-0.037063,0.048446,0.23673,0.37517,0.90193,0.0039184,0.23822,0.085686,0.070116,0.5452,0.24451,0.0025282,0.3642,-0.066172,0.26647,0.63578,0.63811,-0.10633,0.1127,-0.055413,-0.1194,0.57665,1.1417
-0.095191,-0.0072879,0.12386,0.14174,0.077781,-0.12043,-0.23254,-0.080319,0.0039184,2.3243,2.8218,2.2118,1.0032,1.3,-0.12159,-0.11279,0.18261,-1.2143,-1.1892,-1.7279,-1.9234,-1.2542,-0.8223,-0.9222,-0.11991,0.16711,0.82141
